GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 304 - - 18.200 ms
::1 - - [06/Aug/2018:18:36:24 +0000] "OPTIONS /api/saveSprint HTTP/1.1" 200 4 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
::1 - - [06/Aug/2018:18:36:24 +0000] "POST /api/saveSprint HTTP/1.1" 200 19 "http://localhost:4200/newSprint" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
::1 - - [06/Aug/2018:18:36:25 +0000] "GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1" 200 784 "http://localhost:4200/sprint" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
::1 - OPTIONS /api/saveSprint HTTP/1.1 200 4 - 2.701 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 7.363 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1043 - 13.830 ms
::1 - GET /api/sort/description/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1052 - 3.441 ms
::1 - GET /api/sort/status/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1052 - 2.003 ms
::1 - GET /api/sort/length/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1052 - 1.959 ms
::1 - GET /api/sort/status/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.896 ms
::1 - GET /api/sort/date/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1052 - 2.246 ms
::1 - GET /api/sort/start/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1052 - 1.843 ms
::1 - GET /api/sort/start/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.664 ms
::1 - GET /api/sort/date/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.184 ms
::1 - GET /api/sort/finish/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1052 - 1.792 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.790 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 20.625 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 4.062 ms
::1 - GET /api/sort/description/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.519 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 4.688 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1306 - 2.185 ms
::1 - DELETE /api/deleteSprint/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 18 - 2.749 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 2 - 1.350 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 1.706 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 268 - 1.424 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.440 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 525 - 1.625 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.453 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.359 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 793 - 3.041 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.361 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1059 - 2.615 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.750 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1231 - 2.115 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.365 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1502 - 2.792 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.955 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1019.945 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.442 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.837 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.619 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.538 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.268 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.129 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.636 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.187 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.636 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.541 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.309 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.542 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.016 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.110 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.023 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 20.904 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 4.706 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 5.293 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 1766 - 2.734 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.617 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 2032 - 4.446 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.009 ms
::1 - DELETE /api/deleteSprint/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 18 - 2.405 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 2 - 1.231 ms
::1 - GET /api-docs/ HTTP/1.1 304 - - 2.257 ms
::1 - GET /api-docs/swagger-ui.css HTTP/1.1 304 - - 0.998 ms
::1 - GET /api-docs/swagger-ui-bundle.js HTTP/1.1 304 - - 0.654 ms
::1 - GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1 304 - - 0.570 ms
::1 - GET /api-docs.json HTTP/1.1 304 - - 0.339 ms
::1 - GET /api-docs/favicon-32x32.png HTTP/1.1 200 1141 - 3.180 ms
::1 - GET /api-docs/favicon-16x16.png HTTP/1.1 304 - - 0.547 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.976 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 3.600 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.422 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.256 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.238 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.572 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 270 - 1.775 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 1.988 ms
::1 - DELETE /api/deleteSprint/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 18 - 1.568 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 2 - 1.327 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 14.913 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 2.122 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 5.606 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 259 - 4.968 ms
::1 - POST /api/saveSprint HTTP/1.1 200 19 - 0.688 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 200 527 - 2.371 ms
::1 - GET /api/getSprints/auth0%7C5b61c4eb750f272b7932ab74 HTTP/1.1 304 - - 3.330 ms
